event_id,timestamp,hunter_id,terrain_type,event_type,animal_id,damage,calories_burned,voice_msg,encounter_id,animal,location,date,rarity_score,terrain_name,climate,danger_level,rarity_factor,description,day,terrain_visited,animals_hunted,health,stamina,fame,money_earned,experience_points
E-10010,2025-05-23 11:14:00,H-1233,Desert,bike_travel,Unknown,0,205,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10011,2025-06-01 13:58:00,H-1845,Tundra,hunt_failed,A-182,0,681,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10012,2025-05-09 03:32:00,H-1680,City Ruins,hunt_success,A-844,0,821,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10013,2025-04-29 02:16:00,H-1646,Jungle,bike_travel,Unknown,0,505,Stay alert!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10014,2025-05-06 04:59:00,H-1511,Desert,injured,Unknown,50,617,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10015,2025-05-18 01:43:00,H-1393,Swamp,hunt_failed,A-770,0,413,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10016,2025-04-01 12:08:00,H-1476,Desert,hunt_failed,A-955,0,448,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10017,2025-04-26 13:45:00,H-1406,Swamp,encounter,A-810,0,674,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10018,2025-05-09 17:02:00,H-1586,Savanna,hunt_success,A-217,0,737,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10019,2025-05-01 01:16:00,H-1292,Volcanic Zone,encounter,A-328,0,883,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10020,2025-05-28 13:01:00,H-1012,Tundra,bike_travel,Unknown,0,650,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10021,2025-04-21 00:17:00,H-1325,Canyon,encounter,A-782,0,342,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10022,2025-05-28 14:44:00,H-1853,Desert,bike_travel,Unknown,0,196,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10023,2025-05-23 00:37:00,H-1532,Canyon,bike_travel,Unknown,0,485,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10024,2025-06-07 13:30:00,H-1761,Volcanic Zone,hunt_failed,A-388,0,549,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10025,2025-04-08 07:47:00,H-1419,Mountains,bike_travel,Unknown,0,895,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10026,2025-04-11 01:37:00,H-1031,Canyon,hunt_success,A-369,0,55,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10027,2025-05-21 19:54:00,H-1631,Jungle,bike_travel,Unknown,0,251,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10028,2025-05-18 01:12:00,H-1280,Swamp,hunt_failed,A-674,0,201,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10029,2025-05-25 10:38:00,H-1354,Mountains,encounter,A-610,0,384,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10030,2025-04-02 20:21:00,H-1997,Swamp,injured,Unknown,52,815,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10031,2025-05-23 15:33:00,H-1532,Canyon,hunt_success,A-415,0,999,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10032,2025-04-08 20:16:00,H-1632,Jungle,injured,Unknown,93,664,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10033,2025-04-28 01:07:00,H-1286,Mountains,injured,Unknown,99,209,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10034,2025-06-07 13:26:00,H-1925,Jungle,hunt_success,A-656,0,359,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10035,2025-05-10 00:22:00,H-1282,Jungle,hunt_success,A-247,0,476,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10036,2025-04-03 15:05:00,H-1764,Desert,injured,Unknown,28,639,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10037,2025-04-15 16:12:00,H-1870,Forest,hunt_failed,A-139,0,354,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10038,2025-05-23 03:15:00,H-1171,Swamp,hunt_failed,A-930,0,137,Stay alert!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10039,2025-04-18 11:24:00,H-1942,Jungle,hunt_success,A-934,0,648,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10040,2025-05-22 18:07:00,H-1164,Canyon,hunt_success,A-838,0,780,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10041,2025-06-05 17:41:00,H-1458,Jungle,injured,Unknown,35,721,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10042,2025-04-01 20:03:00,H-1423,Forest,bike_travel,Unknown,0,254,Stay alert!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10043,2025-05-31 07:42:00,H-1390,Tundra,injured,Unknown,32,203,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10044,2025-06-08 02:09:00,H-1667,Mountains,encounter,A-918,0,964,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10045,2025-05-28 13:24:00,H-1585,Tundra,injured,Unknown,42,90,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10046,2025-05-22 07:48:00,H-1794,Jungle,hunt_success,A-679,0,215,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10047,2025-05-22 19:32:00,H-1253,Savanna,injured,Unknown,83,888,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10048,2025-05-04 03:28:00,H-1705,Swamp,hunt_success,A-401,0,486,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10049,2025-05-01 17:07:00,H-1412,Tundra,encounter,A-618,0,311,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10050,2025-05-18 15:48:00,H-1491,Canyon,hunt_success,A-306,0,855,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10051,2025-04-27 08:26:00,H-1430,Canyon,bike_travel,Unknown,0,933,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10052,2025-04-06 21:07:00,H-1740,Savanna,hunt_failed,A-699,0,136,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10053,2025-05-25 14:37:00,H-1898,Tundra,hunt_success,A-497,0,556,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10054,2025-04-23 09:55:00,H-1752,Swamp,hunt_success,A-329,0,398,Stay alert!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10055,2025-05-01 10:54:00,H-1723,Mountains,bike_travel,Unknown,0,528,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10056,2025-04-28 23:47:00,H-1160,Mountains,hunt_success,A-520,0,333,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10057,2025-04-18 03:44:00,H-1765,Mountains,hunt_success,A-778,0,536,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10058,2025-05-10 15:19:00,H-1352,Savanna,injured,Unknown,19,701,Stay alert!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10059,2025-05-26 18:05:00,H-1787,Canyon,bike_travel,Unknown,0,298,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10060,2025-04-07 17:28:00,H-1575,Savanna,bike_travel,Unknown,0,677,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10061,2025-05-12 14:22:00,H-1342,Savanna,bike_travel,Unknown,0,298,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10062,2025-05-13 08:17:00,H-1461,Desert,hunt_success,A-619,0,981,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10063,2025-04-19 17:39:00,H-1592,Mountains,encounter,A-950,0,390,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10064,2025-06-06 15:32:00,H-1385,Mountains,injured,Unknown,58,718,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10065,2025-05-27 07:25:00,H-1461,Desert,bike_travel,Unknown,0,78,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10066,2025-05-11 23:02:00,H-1332,Tundra,encounter,A-205,0,477,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10067,2025-04-20 17:03:00,H-1975,Savanna,hunt_success,A-196,0,967,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10068,2025-04-01 17:06:00,H-1080,Jungle,hunt_success,A-114,0,753,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10069,2025-05-04 20:47:00,H-1874,Forest,hunt_failed,A-863,0,730,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10070,2025-05-25 20:34:00,H-1337,Mountains,hunt_failed,A-378,0,239,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10071,2025-04-03 15:22:00,H-1467,City Ruins,encounter,A-132,0,156,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10072,2025-04-13 04:51:00,H-1023,Tundra,encounter,A-537,0,421,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10073,2025-05-20 20:17:00,H-1460,City Ruins,injured,Unknown,68,405,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10074,2025-04-17 21:04:00,H-1608,Tundra,hunt_failed,A-811,0,210,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10075,2025-04-30 15:21:00,H-1190,City Ruins,injured,Unknown,58,980,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10076,2025-05-19 15:27:00,H-1653,Forest,bike_travel,Unknown,0,311,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10077,2025-06-03 18:05:00,H-1499,Swamp,hunt_failed,A-742,0,603,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10078,2025-04-22 13:54:00,H-1825,Volcanic Zone,hunt_success,A-836,0,434,Stay alert!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10079,2025-04-28 17:25:00,H-1670,Savanna,hunt_success,A-764,0,850,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10080,2025-06-05 01:04:00,H-1620,Volcanic Zone,injured,Unknown,84,287,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10081,2025-05-17 21:45:00,H-1977,Swamp,hunt_success,A-412,0,424,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10082,2025-05-07 09:11:00,H-1058,Tundra,bike_travel,Unknown,0,924,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10083,2025-04-17 15:36:00,H-1047,Forest,hunt_failed,A-287,0,322,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10084,2025-04-20 11:18:00,H-1698,Mountains,encounter,A-544,0,797,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10085,2025-04-13 04:59:00,H-1266,Savanna,injured,Unknown,20,432,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10086,2025-04-10 01:46:00,H-1451,City Ruins,hunt_failed,A-845,0,995,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10087,2025-04-05 07:08:00,H-1878,Volcanic Zone,hunt_failed,A-824,0,496,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10088,2025-05-10 16:27:00,H-1996,Jungle,hunt_failed,A-210,0,950,Stay alert!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10089,2025-05-31 15:19:00,H-1836,Jungle,hunt_failed,A-357,0,149,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10090,2025-05-21 00:21:00,H-1428,Canyon,hunt_failed,A-484,0,583,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10091,2025-04-27 08:13:00,H-1063,Swamp,hunt_failed,A-997,0,850,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10092,2025-04-08 01:18:00,H-1365,Tundra,bike_travel,Unknown,0,718,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10093,2025-05-10 11:52:00,H-1501,City Ruins,bike_travel,Unknown,0,111,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10094,2025-05-29 05:10:00,H-1124,Forest,injured,Unknown,11,530,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10095,2025-04-05 08:18:00,H-1044,Canyon,hunt_failed,A-649,0,802,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10096,2025-06-05 05:48:00,H-1197,Jungle,bike_travel,Unknown,0,669,Low health warning!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10097,2025-04-17 12:48:00,H-1785,Swamp,encounter,A-598,0,409,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10098,2025-05-03 04:12:00,H-1230,Savanna,injured,Unknown,60,388,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10099,2025-04-13 16:06:00,H-1953,Desert,bike_travel,Unknown,0,566,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10100,2025-04-24 05:41:00,H-1043,Tundra,hunt_success,A-651,0,1000,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10101,2025-05-18 11:23:00,H-1418,Forest,injured,Unknown,91,865,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10102,2025-05-16 23:50:00,H-1476,Desert,injured,Unknown,72,648,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10103,2025-04-24 19:34:00,H-1327,Savanna,injured,Unknown,61,753,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10104,2025-04-02 13:58:00,H-1448,City Ruins,hunt_failed,A-966,0,843,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10105,2025-05-15 15:01:00,H-1594,Jungle,bike_travel,Unknown,0,228,Stay alert!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10106,2025-05-04 01:47:00,H-1535,Desert,hunt_failed,A-942,0,546,Enemy nearby!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10107,2025-04-07 00:33:00,H-1732,Swamp,encounter,A-819,0,294,Be careful!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10108,2025-05-30 00:44:00,H-1966,Swamp,hunt_failed,A-178,0,197,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10109,2025-04-01 08:29:00,H-1288,Desert,injured,Unknown,17,242,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10110,2025-05-06 00:42:00,H-1538,Tundra,encounter,A-196,0,188,Mission success.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10111,2025-04-07 03:37:00,H-1482,Mountains,hunt_failed,A-949,0,101,Scan complete.,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
E-10112,2025-06-05 10:08:00,H-1658,Canyon,hunt_success,A-857,0,574,Nice shot!,Not Available,Unknown Animal,Unknown Location,,0.0,Unknown Terrain,Unknown Climate,Unknown Danger,0.0,No Description,Unknown Day,,,,,,,
