event_id,timestamp,hunter_id,terrain_type,event_type,animal_id,damage,calories_burned,voice_msg,hunt_result,is_danger,energy_category
E-10034,2025-06-07 13:26:00,H-1925,Jungle,hunt_success,A-656,0,359,Scan complete.,Success,False,Medium
E-10035,2025-05-10 00:22:00,H-1282,Jungle,hunt_success,A-247,0,476,Be careful!,Success,False,Medium
E-10036,2025-04-03 15:05:00,H-1764,Desert,injured,,28,639,Nice shot!,None,False,High
E-10037,2025-04-15 16:12:00,H-1870,Forest,hunt_failed,A-139,0,354,Nice shot!,Failed,False,Medium
E-10038,2025-05-23 03:15:00,H-1171,Swamp,hunt_failed,A-930,0,137,Stay alert!,Failed,False,Low
E-10039,2025-04-18 11:24:00,H-1942,Jungle,hunt_success,A-934,0,648,Scan complete.,Success,False,High
E-10040,2025-05-22 18:07:00,H-1164,Canyon,hunt_success,A-838,0,780,Be careful!,Success,False,High
E-10041,2025-06-05 17:41:00,H-1458,Jungle,injured,,35,721,Mission success.,None,False,High
E-10042,2025-04-01 20:03:00,H-1423,Forest,bike_travel,,0,254,Stay alert!,None,False,Medium
E-10043,2025-05-31 07:42:00,H-1390,Tundra,injured,,32,203,Mission success.,None,False,Medium
E-10044,2025-06-08 02:09:00,H-1667,Mountains,encounter,A-918,0,964,Be careful!,None,False,High
E-10045,2025-05-28 13:24:00,H-1585,Tundra,injured,,42,90,Enemy nearby!,None,False,Low
E-10046,2025-05-22 07:48:00,H-1794,Jungle,hunt_success,A-679,0,215,Nice shot!,Success,False,Medium
E-10047,2025-05-22 19:32:00,H-1253,Savanna,injured,,83,888,Low health warning!,None,True,High
E-10048,2025-05-04 03:28:00,H-1705,Swamp,hunt_success,A-401,0,486,Be careful!,Success,False,Medium
E-10049,2025-05-01 17:07:00,H-1412,Tundra,encounter,A-618,0,311,Low health warning!,None,False,Medium
E-10050,2025-05-18 15:48:00,H-1491,Canyon,hunt_success,A-306,0,855,Enemy nearby!,Success,False,High
E-10051,2025-04-27 08:26:00,H-1430,Canyon,bike_travel,,0,933,Mission success.,None,False,High
E-10052,2025-04-06 21:07:00,H-1740,Savanna,hunt_failed,A-699,0,136,Nice shot!,Failed,False,Low
E-10053,2025-05-25 14:37:00,H-1898,Tundra,hunt_success,A-497,0,556,Nice shot!,Success,False,Medium
E-10054,2025-04-23 09:55:00,H-1752,Swamp,hunt_success,A-329,0,398,Stay alert!,Success,False,Medium
E-10055,2025-05-01 10:54:00,H-1723,Mountains,bike_travel,,0,528,Scan complete.,None,False,Medium
E-10056,2025-04-28 23:47:00,H-1160,Mountains,hunt_success,A-520,0,333,Be careful!,Success,False,Medium
E-10057,2025-04-18 03:44:00,H-1765,Mountains,hunt_success,A-778,0,536,Mission success.,Success,False,Medium
E-10058,2025-05-10 15:19:00,H-1352,Savanna,injured,,19,701,Stay alert!,None,False,High
E-10059,2025-05-26 18:05:00,H-1787,Canyon,bike_travel,,0,298,Scan complete.,None,False,Medium
E-10060,2025-04-07 17:28:00,H-1575,Savanna,bike_travel,,0,677,Enemy nearby!,None,False,High
E-10061,2025-05-12 14:22:00,H-1342,Savanna,bike_travel,,0,298,Low health warning!,None,False,Medium
E-10062,2025-05-13 08:17:00,H-1461,Desert,hunt_success,A-619,0,981,Enemy nearby!,Success,False,High
E-10063,2025-04-19 17:39:00,H-1592,Mountains,encounter,A-950,0,390,Enemy nearby!,None,False,Medium
E-10064,2025-06-06 15:32:00,H-1385,Mountains,injured,,58,718,Enemy nearby!,None,True,High
E-10065,2025-05-27 07:25:00,H-1461,Desert,bike_travel,,0,78,Nice shot!,None,False,Low
E-10066,2025-05-11 23:02:00,H-1332,Tundra,encounter,A-205,0,477,Be careful!,None,False,Medium
E-10067,2025-04-20 17:03:00,H-1975,Savanna,hunt_success,A-196,0,967,Mission success.,Success,False,High
E-10068,2025-04-01 17:06:00,H-1080,Jungle,hunt_success,A-114,0,753,Nice shot!,Success,False,High
E-10069,2025-05-04 20:47:00,H-1874,Forest,hunt_failed,A-863,0,730,Nice shot!,Failed,False,High
E-10070,2025-05-25 20:34:00,H-1337,Mountains,hunt_failed,A-378,0,239,Nice shot!,Failed,False,Medium
E-10071,2025-04-03 15:22:00,H-1467,City Ruins,encounter,A-132,0,156,Be careful!,None,False,Low
E-10072,2025-04-13 04:51:00,H-1023,Tundra,encounter,A-537,0,421,Low health warning!,None,False,Medium
E-10073,2025-05-20 20:17:00,H-1460,City Ruins,injured,,68,405,Low health warning!,None,True,Medium
E-10074,2025-04-17 21:04:00,H-1608,Tundra,hunt_failed,A-811,0,210,Nice shot!,Failed,False,Medium
E-10075,2025-04-30 15:21:00,H-1190,City Ruins,injured,,58,980,Enemy nearby!,None,True,High
E-10076,2025-05-19 15:27:00,H-1653,Forest,bike_travel,,0,311,Scan complete.,None,False,Medium
E-10077,2025-06-03 18:05:00,H-1499,Swamp,hunt_failed,A-742,0,603,Be careful!,Failed,False,High
E-10078,2025-04-22 13:54:00,H-1825,Volcanic Zone,hunt_success,A-836,0,434,Stay alert!,Success,False,Medium
E-10079,2025-04-28 17:25:00,H-1670,Savanna,hunt_success,A-764,0,850,Mission success.,Success,False,High
E-10080,2025-06-05 01:04:00,H-1620,Volcanic Zone,injured,,84,287,Scan complete.,None,True,Medium
E-10081,2025-05-17 21:45:00,H-1977,Swamp,hunt_success,A-412,0,424,Nice shot!,Success,False,Medium
E-10082,2025-05-07 09:11:00,H-1058,Tundra,bike_travel,,0,924,Enemy nearby!,None,False,High
E-10083,2025-04-17 15:36:00,H-1047,Forest,hunt_failed,A-287,0,322,Low health warning!,Failed,False,Medium
E-10084,2025-04-20 11:18:00,H-1698,Mountains,encounter,A-544,0,797,Be careful!,None,False,High
E-10085,2025-04-13 04:59:00,H-1266,Savanna,injured,,20,432,Low health warning!,None,False,Medium
E-10086,2025-04-10 01:46:00,H-1451,City Ruins,hunt_failed,A-845,0,995,Scan complete.,Failed,False,High
E-10087,2025-04-05 07:08:00,H-1878,Volcanic Zone,hunt_failed,A-824,0,496,Enemy nearby!,Failed,False,Medium
E-10088,2025-05-10 16:27:00,H-1996,Jungle,hunt_failed,A-210,0,950,Stay alert!,Failed,False,High
E-10089,2025-05-31 15:19:00,H-1836,Jungle,hunt_failed,A-357,0,149,Low health warning!,Failed,False,Low
E-10090,2025-05-21 00:21:00,H-1428,Canyon,hunt_failed,A-484,0,583,Mission success.,Failed,False,Medium
E-10091,2025-04-27 08:13:00,H-1063,Swamp,hunt_failed,A-997,0,850,Mission success.,Failed,False,High
E-10092,2025-04-08 01:18:00,H-1365,Tundra,bike_travel,,0,718,Scan complete.,None,False,High
E-10093,2025-05-10 11:52:00,H-1501,City Ruins,bike_travel,,0,111,Low health warning!,None,False,Low
E-10094,2025-05-29 05:10:00,H-1124,Forest,injured,,11,530,Mission success.,None,False,Medium
E-10095,2025-04-05 08:18:00,H-1044,Canyon,hunt_failed,A-649,0,802,Nice shot!,Failed,False,High
E-10096,2025-06-05 05:48:00,H-1197,Jungle,bike_travel,,0,669,Low health warning!,None,False,High
E-10097,2025-04-17 12:48:00,H-1785,Swamp,encounter,A-598,0,409,Mission success.,None,False,Medium
E-10098,2025-05-03 04:12:00,H-1230,Savanna,injured,,60,388,Scan complete.,None,True,Medium
E-10099,2025-04-13 16:06:00,H-1953,Desert,bike_travel,,0,566,Mission success.,None,False,Medium
E-10100,2025-04-24 05:41:00,H-1043,Tundra,hunt_success,A-651,0,1000,Mission success.,Success,False,High
E-10101,2025-05-18 11:23:00,H-1418,Forest,injured,,91,865,Mission success.,None,True,High
E-10102,2025-05-16 23:50:00,H-1476,Desert,injured,,72,648,Mission success.,None,True,High
E-10103,2025-04-24 19:34:00,H-1327,Savanna,injured,,61,753,Scan complete.,None,True,High
E-10104,2025-04-02 13:58:00,H-1448,City Ruins,hunt_failed,A-966,0,843,Scan complete.,Failed,False,High
E-10105,2025-05-15 15:01:00,H-1594,Jungle,bike_travel,,0,228,Stay alert!,None,False,Medium
E-10106,2025-05-04 01:47:00,H-1535,Desert,hunt_failed,A-942,0,546,Enemy nearby!,Failed,False,Medium
E-10107,2025-04-07 00:33:00,H-1732,Swamp,encounter,A-819,0,294,Be careful!,None,False,Medium
E-10108,2025-05-30 00:44:00,H-1966,Swamp,hunt_failed,A-178,0,197,Nice shot!,Failed,False,Low
E-10109,2025-04-01 08:29:00,H-1288,Desert,injured,,17,242,Mission success.,None,False,Medium
E-10110,2025-05-06 00:42:00,H-1538,Tundra,encounter,A-196,0,188,Mission success.,None,False,Low
E-10111,2025-04-07 03:37:00,H-1482,Mountains,hunt_failed,A-949,0,101,Scan complete.,Failed,False,Low
E-10112,2025-06-05 10:08:00,H-1658,Canyon,hunt_success,A-857,0,574,Nice shot!,Success,False,Medium
E-10113,2025-06-08 09:04:00,H-1103,Savanna,hunt_failed,A-131,0,418,Mission success.,Failed,False,Medium
E-10114,2025-04-01 14:46:00,H-1526,Forest,injured,,30,398,Low health warning!,None,False,Medium
E-10115,2025-05-10 21:50:00,H-1790,Volcanic Zone,hunt_failed,A-659,0,185,Stay alert!,Failed,False,Low
E-10116,2025-04-24 16:17:00,H-1616,Tundra,encounter,A-619,0,265,Stay alert!,None,False,Medium
E-10117,2025-04-18 08:45:00,H-1966,Swamp,encounter,A-218,0,475,Mission success.,None,False,Medium
E-10118,2025-05-16 12:05:00,H-1625,Canyon,encounter,A-652,0,359,Mission success.,None,False,Medium
E-10119,2025-05-17 22:18:00,H-1503,City Ruins,hunt_success,A-958,0,374,Low health warning!,Success,False,Medium
E-10120,2025-05-27 12:36:00,H-1248,Savanna,hunt_failed,A-545,0,692,Low health warning!,Failed,False,High
E-10121,2025-04-03 12:56:00,H-1942,Jungle,hunt_failed,A-638,0,193,Scan complete.,Failed,False,Low
E-10122,2025-04-19 06:10:00,H-1839,Canyon,bike_travel,,0,297,Low health warning!,None,False,Medium
E-10123,2025-04-04 16:16:00,H-1502,City Ruins,bike_travel,,0,101,Nice shot!,None,False,Low
E-10124,2025-04-21 13:25:00,H-1739,Mountains,injured,,74,239,Stay alert!,None,True,Medium
E-10125,2025-04-12 15:04:00,H-1662,City Ruins,hunt_success,A-182,0,929,Enemy nearby!,Success,False,High
E-10126,2025-04-15 21:54:00,H-1134,Swamp,encounter,A-278,0,634,Stay alert!,None,False,High
E-10127,2025-05-11 02:11:00,H-1091,City Ruins,hunt_failed,A-342,0,746,Be careful!,Failed,False,High
E-10128,2025-05-21 03:47:00,H-1363,Savanna,hunt_success,A-205,0,712,Enemy nearby!,Success,False,High
E-10129,2025-04-13 14:36:00,H-1601,Forest,bike_travel,,0,935,Stay alert!,None,False,High
E-10130,2025-04-12 16:04:00,H-1032,Jungle,encounter,A-680,0,275,Enemy nearby!,None,False,Medium
E-10131,2025-05-03 17:46:00,H-1186,Tundra,hunt_success,A-923,0,759,Low health warning!,Success,False,High
E-10132,2025-04-09 12:09:00,H-1300,Forest,bike_travel,,0,582,Low health warning!,None,False,Medium
E-10133,2025-04-17 01:28:00,H-1110,Swamp,bike_travel,,0,892,Stay alert!,None,False,High
E-10134,2025-05-01 13:12:00,H-1841,Volcanic Zone,injured,,74,442,Enemy nearby!,None,True,Medium
E-10135,2025-05-17 00:26:00,H-1248,Savanna,injured,,75,968,Scan complete.,None,True,High
E-10136,2025-04-09 06:43:00,H-1511,Desert,injured,,77,253,Nice shot!,None,True,Medium
E-10137,2025-05-29 14:27:00,H-1383,Desert,hunt_failed,A-218,0,584,Enemy nearby!,Failed,False,Medium
E-10138,2025-06-03 09:29:00,H-1841,Volcanic Zone,injured,,46,829,Low health warning!,None,False,High
E-10139,2025-04-14 01:17:00,H-1810,Savanna,hunt_success,A-405,0,233,Nice shot!,Success,False,Medium
E-10140,2025-05-09 15:52:00,H-1501,City Ruins,hunt_failed,A-916,0,442,Enemy nearby!,Failed,False,Medium
E-10141,2025-04-03 18:43:00,H-1995,Mountains,encounter,A-651,0,525,Mission success.,None,False,Medium
E-10142,2025-05-14 10:24:00,H-1603,Tundra,encounter,A-194,0,365,Nice shot!,None,False,Medium
E-10143,2025-05-04 10:16:00,H-1135,Tundra,encounter,A-234,0,434,Stay alert!,None,False,Medium
E-10144,2025-04-08 00:07:00,H-1365,Tundra,encounter,A-852,0,734,Scan complete.,None,False,High
E-10145,2025-06-09 09:38:00,H-1009,Swamp,bike_travel,,0,627,Enemy nearby!,None,False,High
E-10146,2025-05-23 11:58:00,H-1681,Canyon,injured,,84,220,Nice shot!,None,True,Medium
E-10147,2025-05-16 14:36:00,H-1704,Tundra,encounter,A-934,0,471,Low health warning!,None,False,Medium
E-10148,2025-05-19 21:32:00,H-1932,Swamp,bike_travel,,0,686,Scan complete.,None,False,High
E-10149,2025-05-13 21:29:00,H-1828,Jungle,hunt_failed,A-681,0,775,Scan complete.,Failed,False,High
E-10150,2025-04-10 07:42:00,H-1540,Jungle,hunt_success,A-882,0,733,Mission success.,Success,False,High
E-10151,2025-04-07 01:47:00,H-1253,Savanna,bike_travel,,0,389,Low health warning!,None,False,Medium
E-10152,2025-06-06 19:49:00,H-1328,City Ruins,bike_travel,,0,678,Enemy nearby!,None,False,High
E-10153,2025-04-23 13:38:00,H-1716,Mountains,injured,,83,320,Stay alert!,None,True,Medium
E-10154,2025-05-20 11:45:00,H-1745,Tundra,hunt_success,A-394,0,321,Enemy nearby!,Success,False,Medium
E-10155,2025-05-17 06:06:00,H-1606,Forest,hunt_failed,A-310,0,404,Stay alert!,Failed,False,Medium
E-10156,2025-04-21 07:45:00,H-1839,Canyon,injured,,59,338,Low health warning!,None,True,Medium
E-10157,2025-06-07 14:49:00,H-1635,Swamp,bike_travel,,0,508,Stay alert!,None,False,Medium
E-10158,2025-04-05 10:27:00,H-1537,Desert,encounter,A-447,0,625,Scan complete.,None,False,High
E-10159,2025-05-21 12:40:00,H-1367,Forest,injured,,80,139,Low health warning!,None,True,Low
E-10160,2025-06-01 09:30:00,H-1379,Jungle,hunt_failed,A-740,0,260,Mission success.,Failed,False,Medium
E-10161,2025-05-05 14:16:00,H-1386,Canyon,injured,,99,651,Nice shot!,None,True,High
E-10162,2025-04-03 10:08:00,H-1757,Desert,hunt_success,A-799,0,77,Nice shot!,Success,False,Low
E-10163,2025-04-16 11:22:00,H-1679,Savanna,bike_travel,,0,308,Stay alert!,None,False,Medium
E-10164,2025-05-27 16:29:00,H-1450,Volcanic Zone,hunt_failed,A-673,0,127,Scan complete.,Failed,False,Low
E-10165,2025-05-07 23:44:00,H-1837,Desert,encounter,A-448,0,136,Mission success.,None,False,Low
E-10166,2025-05-18 14:15:00,H-1322,Volcanic Zone,injured,,15,472,Nice shot!,None,False,Medium
E-10167,2025-04-25 10:16:00,H-1425,Mountains,injured,,18,156,Stay alert!,None,False,Low
E-10168,2025-05-07 18:33:00,H-1097,Volcanic Zone,injured,,39,194,Low health warning!,None,False,Low
E-10169,2025-04-01 05:17:00,H-1151,Volcanic Zone,bike_travel,,0,782,Nice shot!,None,False,High
E-10170,2025-04-18 10:47:00,H-1282,Jungle,injured,,65,831,Enemy nearby!,None,True,High
E-10171,2025-04-06 01:50:00,H-1365,Tundra,hunt_failed,A-579,0,238,Mission success.,Failed,False,Medium
E-10172,2025-05-18 06:05:00,H-1597,Tundra,hunt_success,A-492,0,393,Enemy nearby!,Success,False,Medium
E-10173,2025-05-25 20:28:00,H-1261,Savanna,hunt_success,A-496,0,693,Scan complete.,Success,False,High
E-10174,2025-05-04 13:35:00,H-1695,City Ruins,hunt_failed,A-477,0,190,Low health warning!,Failed,False,Low
E-10175,2025-05-05 19:13:00,H-1240,City Ruins,encounter,A-926,0,798,Scan complete.,None,False,High
E-10176,2025-05-23 16:47:00,H-1280,Swamp,hunt_success,A-935,0,958,Mission success.,Success,False,High
E-10177,2025-05-24 13:23:00,H-1504,Jungle,bike_travel,,0,752,Low health warning!,None,False,High
E-10178,2025-04-06 23:44:00,H-1805,Swamp,encounter,A-701,0,619,Nice shot!,None,False,High
E-10179,2025-04-15 06:58:00,H-1094,Desert,bike_travel,,0,363,Mission success.,None,False,Medium
E-10180,2025-06-01 16:06:00,H-1293,Forest,injured,,75,252,Scan complete.,None,True,Medium
E-10181,2025-06-01 04:08:00,H-1125,Savanna,bike_travel,,0,317,Enemy nearby!,None,False,Medium
E-10182,2025-04-28 22:43:00,H-1418,Forest,encounter,A-122,0,793,Mission success.,None,False,High
E-10183,2025-04-02 10:51:00,H-1570,City Ruins,injured,,15,534,Enemy nearby!,None,False,Medium
E-10184,2025-05-16 23:05:00,H-1916,Swamp,injured,,81,72,Mission success.,None,True,Low
E-10185,2025-04-06 17:31:00,H-1152,Canyon,hunt_failed,A-459,0,975,Enemy nearby!,Failed,False,High
E-10186,2025-04-07 15:25:00,H-1933,Forest,hunt_failed,A-283,0,889,Low health warning!,Failed,False,High
E-10187,2025-04-22 01:50:00,H-1459,Tundra,hunt_failed,A-721,0,244,Mission success.,Failed,False,Medium
E-10188,2025-05-27 16:58:00,H-1384,Mountains,injured,,20,60,Be careful!,None,False,Low
E-10189,2025-04-29 06:22:00,H-1630,Forest,bike_travel,,0,358,Scan complete.,None,False,Medium
E-10190,2025-04-28 11:33:00,H-1511,Desert,hunt_failed,A-800,0,240,Be careful!,Failed,False,Medium
E-10191,2025-04-07 06:01:00,H-1786,City Ruins,encounter,A-862,0,657,Mission success.,None,False,High
E-10192,2025-04-16 11:08:00,H-1917,City Ruins,encounter,A-540,0,170,Low health warning!,None,False,Low
E-10193,2025-05-08 17:27:00,H-1679,Savanna,hunt_failed,A-705,0,276,Mission success.,Failed,False,Medium
E-10194,2025-06-08 23:00:00,H-1840,Volcanic Zone,hunt_success,A-885,0,252,Be careful!,Success,False,Medium
E-10195,2025-06-06 07:59:00,H-1832,Volcanic Zone,hunt_success,A-877,0,164,Scan complete.,Success,False,Low
E-10196,2025-05-24 01:01:00,H-1405,Desert,hunt_failed,A-737,0,785,Stay alert!,Failed,False,High
E-10197,2025-04-21 21:09:00,H-1216,Tundra,bike_travel,,0,177,Stay alert!,None,False,Low
E-10198,2025-05-22 10:39:00,H-1554,Mountains,injured,,98,498,Stay alert!,None,True,Medium
E-10199,2025-05-14 16:24:00,H-1006,Jungle,hunt_failed,A-916,0,899,Nice shot!,Failed,False,High
E-10200,2025-05-07 04:42:00,H-1612,Jungle,injured,,27,236,Nice shot!,None,False,Medium
E-10201,2025-06-02 23:59:00,H-1533,Volcanic Zone,hunt_failed,A-273,0,793,Enemy nearby!,Failed,False,High
E-10202,2025-04-20 18:58:00,H-1761,Volcanic Zone,injured,,83,537,Mission success.,None,True,Medium
E-10203,2025-06-07 01:14:00,H-1197,Jungle,hunt_success,A-349,0,197,Mission success.,Success,False,Low
E-10204,2025-05-19 22:37:00,H-1615,Savanna,hunt_failed,A-148,0,711,Enemy nearby!,Failed,False,High
E-10205,2025-04-08 05:52:00,H-1982,Tundra,hunt_success,A-548,0,410,Be careful!,Success,False,Medium
E-10206,2025-04-01 07:12:00,H-1498,Savanna,hunt_failed,A-980,0,733,Be careful!,Failed,False,High
E-10207,2025-05-30 16:40:00,H-1637,Forest,injured,,10,449,Enemy nearby!,None,False,Medium
E-10208,2025-04-04 00:46:00,H-1762,Canyon,encounter,A-253,0,203,Mission success.,None,False,Medium
E-10209,2025-05-14 23:57:00,H-1780,Tundra,bike_travel,,0,965,Scan complete.,None,False,High
E-10210,2025-05-01 11:22:00,H-1076,Savanna,encounter,A-930,0,291,Scan complete.,None,False,Medium
E-10211,2025-04-27 21:37:00,H-1486,Tundra,encounter,A-739,0,55,Enemy nearby!,None,False,Low
E-10212,2025-05-09 17:04:00,H-1351,Swamp,hunt_failed,A-446,0,127,Be careful!,Failed,False,Low
E-10213,2025-04-02 20:17:00,H-1763,Savanna,hunt_failed,A-520,0,430,Nice shot!,Failed,False,Medium
E-10214,2025-04-30 03:31:00,H-1256,Volcanic Zone,hunt_success,A-412,0,989,Nice shot!,Success,False,High
E-10215,2025-04-25 19:59:00,H-1141,Canyon,hunt_failed,A-810,0,994,Nice shot!,Failed,False,High
E-10216,2025-05-17 12:46:00,H-1832,Volcanic Zone,encounter,A-423,0,763,Low health warning!,None,False,High
E-10217,2025-05-24 11:44:00,H-1403,City Ruins,injured,,31,491,Stay alert!,None,False,Medium
E-10218,2025-04-11 18:17:00,H-1484,City Ruins,hunt_success,A-135,0,580,Enemy nearby!,Success,False,Medium
E-10219,2025-05-22 15:49:00,H-1841,Volcanic Zone,hunt_success,A-504,0,332,Scan complete.,Success,False,Medium
E-10220,2025-04-07 15:27:00,H-1478,Volcanic Zone,injured,,17,262,Nice shot!,None,False,Medium
E-10221,2025-04-13 08:33:00,H-1714,Savanna,hunt_failed,A-694,0,920,Mission success.,Failed,False,High
E-10222,2025-04-14 20:14:00,H-1696,Jungle,hunt_failed,A-880,0,907,Stay alert!,Failed,False,High
E-10223,2025-05-27 16:58:00,H-1387,Canyon,hunt_failed,A-996,0,854,Enemy nearby!,Failed,False,High
E-10224,2025-05-19 22:18:00,H-1110,Swamp,hunt_success,A-433,0,850,Be careful!,Success,False,High
E-10225,2025-04-14 16:41:00,H-1746,Mountains,hunt_failed,A-986,0,960,Enemy nearby!,Failed,False,High
E-10226,2025-05-05 12:26:00,H-1741,Forest,injured,,13,737,Stay alert!,None,False,High
E-10227,2025-04-07 05:24:00,H-1682,City Ruins,bike_travel,,0,109,Mission success.,None,False,Low
E-10228,2025-05-01 22:22:00,H-1648,Swamp,hunt_failed,A-209,0,638,Be careful!,Failed,False,High
E-10229,2025-04-22 17:53:00,H-1391,Forest,bike_travel,,0,592,Mission success.,None,False,Medium
E-10230,2025-04-24 20:30:00,H-1015,Mountains,hunt_success,A-970,0,724,Low health warning!,Success,False,High
E-10231,2025-04-14 16:47:00,H-1384,Mountains,bike_travel,,0,949,Enemy nearby!,None,False,High
E-10232,2025-04-11 12:34:00,H-1615,Savanna,injured,,84,315,Enemy nearby!,None,True,Medium
E-10233,2025-05-01 08:55:00,H-1426,Desert,injured,,15,87,Enemy nearby!,None,False,Low
E-10234,2025-04-12 08:03:00,H-1180,Mountains,injured,,82,666,Low health warning!,None,True,High
E-10235,2025-05-02 02:38:00,H-1901,Desert,encounter,A-142,0,975,Enemy nearby!,None,False,High
E-10236,2025-04-17 14:24:00,H-1402,Mountains,injured,,60,946,Be careful!,None,True,High
E-10237,2025-06-02 06:05:00,H-1359,Jungle,injured,,42,59,Nice shot!,None,False,Low
E-10238,2025-06-03 09:50:00,H-1751,Forest,injured,,13,167,Mission success.,None,False,Low
E-10239,2025-04-29 18:11:00,H-1443,Tundra,hunt_failed,A-422,0,581,Nice shot!,Failed,False,Medium
E-10240,2025-04-06 13:40:00,H-1360,Forest,encounter,A-582,0,205,Low health warning!,None,False,Medium
E-10241,2025-05-20 10:06:00,H-1936,Canyon,encounter,A-925,0,629,Enemy nearby!,None,False,High
E-10242,2025-04-15 23:02:00,H-1504,Jungle,bike_travel,,0,392,Mission success.,None,False,Medium
E-10243,2025-04-15 17:12:00,H-1196,Volcanic Zone,hunt_failed,A-821,0,916,Nice shot!,Failed,False,High
E-10244,2025-04-16 20:20:00,H-1976,City Ruins,injured,,38,326,Low health warning!,None,False,Medium
E-10245,2025-04-07 02:36:00,H-1944,Tundra,injured,,45,721,Stay alert!,None,False,High
E-10246,2025-06-05 18:46:00,H-1275,Volcanic Zone,hunt_failed,A-242,0,358,Scan complete.,Failed,False,Medium
E-10247,2025-04-23 17:31:00,H-1397,Canyon,bike_travel,,0,660,Low health warning!,None,False,High
E-10248,2025-05-12 03:29:00,H-1210,City Ruins,hunt_success,A-802,0,551,Enemy nearby!,Success,False,Medium
E-10249,2025-04-13 13:11:00,H-1913,Forest,encounter,A-518,0,484,Scan complete.,None,False,Medium
E-10250,2025-05-27 08:43:00,H-1941,Forest,encounter,A-274,0,969,Nice shot!,None,False,High
E-10251,2025-05-10 07:25:00,H-1154,Tundra,encounter,A-842,0,852,Scan complete.,None,False,High
