event_id,hunter_id,event_type,event_description,event_outcome
Event_120,Hunter_302,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_121,Hunter_63,Dangerous Challenge,Encountered a rare animal.,Success
Event_122,Hunter_992,Animal Encounter,Encountered a hidden treasure.,Success
Event_123,Hunter_702,Treasure Found,Encountered a rare animal.,Failure
Event_124,Hunter_9,Treasure Found,Encountered a hidden treasure.,Failure
Event_125,Hunter_259,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_126,Hunter_84,Treasure Found,Encountered a dangerous obstacle.,Success
Event_127,Hunter_232,Animal Encounter,Encountered a hidden treasure.,Failure
Event_128,Hunter_755,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_129,Hunter_679,Animal Encounter,Encountered a hidden treasure.,Failure
Event_130,Hunter_115,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_131,Hunter_343,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_132,Hunter_272,Treasure Found,Encountered a rare animal.,Failure
Event_133,Hunter_580,Treasure Found,Encountered a rare animal.,Failure
Event_134,Hunter_418,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_135,Hunter_318,Animal Encounter,Encountered a hidden treasure.,Failure
Event_136,Hunter_209,Animal Encounter,Encountered a rare animal.,Success
Event_137,Hunter_65,Animal Encounter,Encountered a hidden treasure.,Success
Event_138,Hunter_3,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_139,Hunter_630,Treasure Found,Encountered a rare animal.,Success
Event_140,Hunter_43,Treasure Found,Encountered a rare animal.,Success
Event_141,Hunter_572,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_142,Hunter_220,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_143,Hunter_261,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_144,Hunter_963,Treasure Found,Encountered a hidden treasure.,Success
Event_145,Hunter_319,Animal Encounter,Encountered a rare animal.,Success
Event_146,Hunter_719,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_147,Hunter_22,Animal Encounter,Encountered a rare animal.,Success
Event_148,Hunter_859,Treasure Found,Encountered a dangerous obstacle.,Success
Event_149,Hunter_941,Dangerous Challenge,Encountered a rare animal.,Success
Event_150,Hunter_237,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_151,Hunter_785,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_152,Hunter_459,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_153,Hunter_879,Dangerous Challenge,Encountered a rare animal.,Failure
Event_154,Hunter_124,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_155,Hunter_419,Animal Encounter,Encountered a rare animal.,Success
Event_156,Hunter_816,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_157,Hunter_38,Dangerous Challenge,Encountered a rare animal.,Failure
Event_158,Hunter_675,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_159,Hunter_860,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_160,Hunter_241,Treasure Found,Encountered a hidden treasure.,Success
Event_161,Hunter_157,Dangerous Challenge,Encountered a rare animal.,Failure
Event_162,Hunter_661,Dangerous Challenge,Encountered a rare animal.,Success
Event_163,Hunter_641,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_164,Hunter_71,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_165,Hunter_387,Treasure Found,Encountered a hidden treasure.,Success
Event_166,Hunter_844,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_167,Hunter_384,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_168,Hunter_82,Animal Encounter,Encountered a hidden treasure.,Success
Event_169,Hunter_455,Treasure Found,Encountered a rare animal.,Success
Event_170,Hunter_445,Treasure Found,Encountered a rare animal.,Success
Event_171,Hunter_216,Dangerous Challenge,Encountered a rare animal.,Failure
Event_172,Hunter_146,Treasure Found,Encountered a dangerous obstacle.,Success
Event_173,Hunter_599,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_174,Hunter_408,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_175,Hunter_132,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_176,Hunter_522,Animal Encounter,Encountered a hidden treasure.,Failure
Event_177,Hunter_462,Dangerous Challenge,Encountered a rare animal.,Failure
Event_178,Hunter_385,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_179,Hunter_623,Animal Encounter,Encountered a hidden treasure.,Success
Event_180,Hunter_15,Animal Encounter,Encountered a hidden treasure.,Failure
Event_181,Hunter_133,Dangerous Challenge,Encountered a rare animal.,Success
Event_182,Hunter_968,Animal Encounter,Encountered a rare animal.,Success
Event_183,Hunter_853,Treasure Found,Encountered a hidden treasure.,Failure
Event_184,Hunter_976,Animal Encounter,Encountered a rare animal.,Success
Event_185,Hunter_319,Treasure Found,Encountered a rare animal.,Failure
Event_186,Hunter_157,Treasure Found,Encountered a hidden treasure.,Failure
Event_187,Hunter_785,Treasure Found,Encountered a rare animal.,Failure
Event_188,Hunter_88,Dangerous Challenge,Encountered a rare animal.,Success
Event_189,Hunter_401,Animal Encounter,Encountered a hidden treasure.,Failure
Event_190,Hunter_617,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_191,Hunter_924,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_192,Hunter_80,Treasure Found,Encountered a hidden treasure.,Failure
Event_193,Hunter_389,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_194,Hunter_250,Animal Encounter,Encountered a hidden treasure.,Failure
Event_195,Hunter_350,Animal Encounter,Encountered a hidden treasure.,Failure
Event_196,Hunter_195,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_197,Hunter_26,Animal Encounter,Encountered a hidden treasure.,Failure
Event_198,Hunter_312,Treasure Found,Encountered a hidden treasure.,Success
Event_199,Hunter_296,Animal Encounter,Encountered a rare animal.,Success
Event_200,Hunter_46,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_201,Hunter_767,Animal Encounter,Encountered a rare animal.,Failure
Event_202,Hunter_905,Treasure Found,Encountered a hidden treasure.,Failure
Event_203,Hunter_161,Animal Encounter,Encountered a rare animal.,Success
Event_204,Hunter_230,Dangerous Challenge,Encountered a rare animal.,Success
Event_205,Hunter_645,Dangerous Challenge,Encountered a rare animal.,Failure
Event_206,Hunter_432,Treasure Found,Encountered a rare animal.,Failure
Event_207,Hunter_561,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_208,Hunter_454,Animal Encounter,Encountered a hidden treasure.,Success
Event_209,Hunter_119,Animal Encounter,Encountered a hidden treasure.,Success
Event_210,Hunter_122,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_211,Hunter_672,Dangerous Challenge,Encountered a rare animal.,Failure
Event_212,Hunter_877,Dangerous Challenge,Encountered a rare animal.,Failure
Event_213,Hunter_28,Treasure Found,Encountered a hidden treasure.,Success
Event_214,Hunter_508,Animal Encounter,Encountered a hidden treasure.,Failure
Event_215,Hunter_880,Treasure Found,Encountered a hidden treasure.,Failure
Event_216,Hunter_571,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_217,Hunter_281,Animal Encounter,Encountered a rare animal.,Success
Event_218,Hunter_805,Animal Encounter,Encountered a hidden treasure.,Success
Event_219,Hunter_667,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_220,Hunter_769,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_221,Hunter_260,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_222,Hunter_44,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_223,Hunter_393,Treasure Found,Encountered a rare animal.,Success
Event_224,Hunter_117,Animal Encounter,Encountered a hidden treasure.,Success
Event_225,Hunter_465,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_226,Hunter_502,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_227,Hunter_394,Animal Encounter,Encountered a rare animal.,Failure
Event_228,Hunter_8,Treasure Found,Encountered a hidden treasure.,Success
Event_229,Hunter_985,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_230,Hunter_104,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_231,Hunter_510,Treasure Found,Encountered a rare animal.,Success
Event_232,Hunter_823,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_233,Hunter_237,Treasure Found,Encountered a rare animal.,Failure
Event_234,Hunter_201,Treasure Found,Encountered a rare animal.,Failure
Event_235,Hunter_674,Dangerous Challenge,Encountered a rare animal.,Success
Event_236,Hunter_49,Treasure Found,Encountered a rare animal.,Failure
Event_237,Hunter_875,Treasure Found,Encountered a rare animal.,Failure
Event_238,Hunter_187,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_239,Hunter_332,Treasure Found,Encountered a rare animal.,Failure
Event_240,Hunter_564,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_241,Hunter_508,Animal Encounter,Encountered a hidden treasure.,Failure
Event_242,Hunter_656,Animal Encounter,Encountered a rare animal.,Failure
Event_243,Hunter_550,Dangerous Challenge,Encountered a rare animal.,Failure
Event_244,Hunter_688,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_245,Hunter_662,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_246,Hunter_380,Animal Encounter,Encountered a rare animal.,Failure
Event_247,Hunter_489,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_248,Hunter_645,Treasure Found,Encountered a hidden treasure.,Failure
Event_249,Hunter_70,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_250,Hunter_514,Treasure Found,Encountered a hidden treasure.,Success
Event_251,Hunter_222,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_252,Hunter_505,Treasure Found,Encountered a hidden treasure.,Success
Event_253,Hunter_531,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_254,Hunter_644,Animal Encounter,Encountered a rare animal.,Failure
Event_255,Hunter_292,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_256,Hunter_1000,Animal Encounter,Encountered a hidden treasure.,Success
Event_257,Hunter_904,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_258,Hunter_493,Animal Encounter,Encountered a hidden treasure.,Failure
Event_259,Hunter_627,Treasure Found,Encountered a dangerous obstacle.,Success
Event_260,Hunter_568,Animal Encounter,Encountered a hidden treasure.,Failure
Event_261,Hunter_253,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_262,Hunter_563,Treasure Found,Encountered a rare animal.,Success
Event_263,Hunter_973,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_264,Hunter_639,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_265,Hunter_998,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_266,Hunter_819,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_267,Hunter_710,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_268,Hunter_889,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_269,Hunter_689,Treasure Found,Encountered a hidden treasure.,Success
Event_270,Hunter_498,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_271,Hunter_936,Treasure Found,Encountered a rare animal.,Failure
Event_272,Hunter_853,Dangerous Challenge,Encountered a rare animal.,Success
Event_273,Hunter_979,Animal Encounter,Encountered a hidden treasure.,Success
Event_274,Hunter_492,Dangerous Challenge,Encountered a rare animal.,Failure
Event_275,Hunter_424,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_276,Hunter_836,Animal Encounter,Encountered a rare animal.,Success
Event_277,Hunter_19,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_278,Hunter_322,Animal Encounter,Encountered a rare animal.,Success
Event_279,Hunter_695,Animal Encounter,Encountered a hidden treasure.,Failure
Event_280,Hunter_647,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_281,Hunter_365,Animal Encounter,Encountered a hidden treasure.,Failure
Event_282,Hunter_514,Treasure Found,Encountered a rare animal.,Success
Event_283,Hunter_821,Treasure Found,Encountered a hidden treasure.,Success
Event_284,Hunter_122,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_285,Hunter_89,Treasure Found,Encountered a hidden treasure.,Success
Event_286,Hunter_826,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_287,Hunter_426,Treasure Found,Encountered a hidden treasure.,Failure
Event_288,Hunter_465,Treasure Found,Encountered a dangerous obstacle.,Success
Event_289,Hunter_280,Treasure Found,Encountered a rare animal.,Failure
Event_290,Hunter_838,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_291,Hunter_707,Treasure Found,Encountered a hidden treasure.,Success
Event_292,Hunter_33,Treasure Found,Encountered a rare animal.,Failure
Event_293,Hunter_515,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_294,Hunter_761,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_295,Hunter_161,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_296,Hunter_298,Treasure Found,Encountered a rare animal.,Failure
Event_297,Hunter_303,Treasure Found,Encountered a rare animal.,Success
Event_298,Hunter_466,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_299,Hunter_289,Animal Encounter,Encountered a hidden treasure.,Failure
Event_300,Hunter_463,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_301,Hunter_50,Animal Encounter,Encountered a hidden treasure.,Success
Event_302,Hunter_647,Animal Encounter,Encountered a rare animal.,Failure
Event_303,Hunter_875,Treasure Found,Encountered a rare animal.,Failure
Event_304,Hunter_181,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_305,Hunter_860,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_306,Hunter_791,Treasure Found,Encountered a rare animal.,Failure
Event_307,Hunter_814,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_308,Hunter_73,Treasure Found,Encountered a hidden treasure.,Failure
Event_309,Hunter_400,Treasure Found,Encountered a hidden treasure.,Success
Event_310,Hunter_182,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_311,Hunter_66,Animal Encounter,Encountered a hidden treasure.,Success
Event_312,Hunter_968,Dangerous Challenge,Encountered a rare animal.,Failure
Event_313,Hunter_435,Animal Encounter,Encountered a hidden treasure.,Success
Event_314,Hunter_769,Animal Encounter,Encountered a rare animal.,Success
Event_315,Hunter_868,Treasure Found,Encountered a rare animal.,Success
Event_316,Hunter_294,Dangerous Challenge,Encountered a rare animal.,Failure
Event_317,Hunter_311,Treasure Found,Encountered a rare animal.,Success
Event_318,Hunter_797,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_319,Hunter_401,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_320,Hunter_85,Dangerous Challenge,Encountered a rare animal.,Failure
Event_321,Hunter_658,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_322,Hunter_623,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_323,Hunter_972,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_324,Hunter_481,Dangerous Challenge,Encountered a rare animal.,Success
Event_325,Hunter_777,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_326,Hunter_206,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_327,Hunter_399,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_328,Hunter_652,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_329,Hunter_537,Animal Encounter,Encountered a hidden treasure.,Failure
Event_330,Hunter_561,Treasure Found,Encountered a hidden treasure.,Success
Event_331,Hunter_996,Dangerous Challenge,Encountered a rare animal.,Failure
Event_332,Hunter_185,Animal Encounter,Encountered a rare animal.,Failure
Event_333,Hunter_454,Treasure Found,Encountered a rare animal.,Failure
Event_334,Hunter_241,Animal Encounter,Encountered a dangerous obstacle.,Success
Event_335,Hunter_331,Animal Encounter,Encountered a hidden treasure.,Success
Event_336,Hunter_871,Treasure Found,Encountered a rare animal.,Failure
Event_337,Hunter_44,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_338,Hunter_458,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_339,Hunter_947,Animal Encounter,Encountered a hidden treasure.,Failure
Event_340,Hunter_117,Treasure Found,Encountered a rare animal.,Failure
Event_341,Hunter_707,Treasure Found,Encountered a rare animal.,Failure
Event_342,Hunter_346,Treasure Found,Encountered a rare animal.,Failure
Event_343,Hunter_532,Dangerous Challenge,Encountered a rare animal.,Success
Event_344,Hunter_808,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_345,Hunter_794,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_346,Hunter_369,Treasure Found,Encountered a hidden treasure.,Success
Event_347,Hunter_835,Treasure Found,Encountered a rare animal.,Failure
Event_348,Hunter_645,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_349,Hunter_355,Treasure Found,Encountered a dangerous obstacle.,Failure
Event_350,Hunter_1000,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_351,Hunter_70,Treasure Found,Encountered a rare animal.,Failure
Event_352,Hunter_306,Treasure Found,Encountered a dangerous obstacle.,Success
Event_353,Hunter_500,Animal Encounter,Encountered a hidden treasure.,Failure
Event_354,Hunter_618,Animal Encounter,Encountered a rare animal.,Success
Event_355,Hunter_469,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_356,Hunter_588,Animal Encounter,Encountered a hidden treasure.,Failure
Event_357,Hunter_206,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_358,Hunter_104,Animal Encounter,Encountered a hidden treasure.,Failure
Event_359,Hunter_520,Dangerous Challenge,Encountered a dangerous obstacle.,Success
Event_360,Hunter_510,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_361,Hunter_230,Dangerous Challenge,Encountered a rare animal.,Success
Event_362,Hunter_433,Treasure Found,Encountered a dangerous obstacle.,Success
Event_363,Hunter_240,Animal Encounter,Encountered a hidden treasure.,Failure
Event_364,Hunter_652,Animal Encounter,Encountered a hidden treasure.,Success
Event_365,Hunter_501,Treasure Found,Encountered a rare animal.,Success
Event_366,Hunter_664,Dangerous Challenge,Encountered a hidden treasure.,Success
Event_367,Hunter_984,Animal Encounter,Encountered a hidden treasure.,Failure
Event_368,Hunter_564,Treasure Found,Encountered a hidden treasure.,Failure
Event_369,Hunter_63,Dangerous Challenge,Encountered a dangerous obstacle.,Failure
Event_370,Hunter_184,Treasure Found,Encountered a hidden treasure.,Failure
Event_371,Hunter_204,Animal Encounter,Encountered a rare animal.,Failure
Event_372,Hunter_865,Dangerous Challenge,Encountered a hidden treasure.,Failure
Event_373,Hunter_123,Animal Encounter,Encountered a rare animal.,Success
Event_374,Hunter_366,Dangerous Challenge,Encountered a rare animal.,Success
Event_375,Hunter_239,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_376,Hunter_95,Treasure Found,Encountered a rare animal.,Success
Event_377,Hunter_274,Animal Encounter,Encountered a dangerous obstacle.,Failure
Event_378,Hunter_420,Dangerous Challenge,Encountered a rare animal.,Failure
