hunter_id,day,terrain_visited,animals_hunted,health,stamina,fame,money_earned,experience_points
H0001,43,Desert,5,68,52,1293,2645,1240
H0001,44,Jungle,2,50,72,1315,1324,1260
H0001,45,Savanna,2,88,33,1345,1156,1280
H0001,46,Rainforest,5,98,55,1385,3020,1330
H0001,47,Urban Ruins,2,81,34,1415,1678,1350
H0001,48,Swamp,0,63,71,1415,0,1350
H0001,49,Tundra,1,67,84,1428,703,1360
H0001,50,Jungle,3,73,82,1455,891,1390
H0001,51,Jungle,1,68,92,1461,753,1400
H0001,52,Volcanic,5,80,51,1516,2160,1450
H0001,53,Urban Ruins,5,79,55,1546,1250,1500
H0001,54,Desert,1,63,68,1557,160,1510
H0001,55,Jungle,1,69,64,1562,127,1520
H0001,56,Mountain,4,86,48,1590,3476,1560
H0001,57,Rainforest,1,52,93,1601,562,1570
H0001,58,Mountain,0,82,58,1601,0,1570
H0001,59,Volcanic,4,93,81,1649,2204,1610
H0001,60,Arctic,1,65,33,1658,547,1620
H0001,61,Tundra,3,69,52,1676,1227,1650
H0001,62,Desert,4,80,44,1704,3028,1690
H0001,63,Desert,0,90,71,1704,0,1690
H0001,64,Rainforest,1,77,78,1709,435,1700
H0001,65,Desert,1,77,85,1717,284,1710
H0001,66,Savanna,4,72,62,1749,2932,1750
H0001,67,Jungle,4,91,75,1773,1264,1790
H0001,68,Tundra,1,55,36,1784,630,1800
H0001,69,Urban Ruins,0,78,41,1784,0,1800
H0001,70,Desert,0,91,62,1784,0,1800
H0001,71,Arctic,4,69,88,1840,2592,1840
H0001,72,Swamp,5,51,77,1890,3245,1890
H0001,73,Mountain,1,77,54,1895,963,1900
H0001,74,Tundra,0,94,45,1895,0,1900
H0001,75,Mountain,5,88,68,1930,5000,1950
H0001,76,Swamp,4,79,53,1962,592,1990
H0001,77,Volcanic,1,56,50,1974,886,2000
H0001,78,Tundra,5,95,69,2044,3730,2050
H0001,79,Mountain,4,86,72,2064,912,2090
H0001,80,Rainforest,5,99,33,2139,2955,2140
H0001,81,Jungle,4,66,91,2171,2740,2180
H0001,82,Arctic,1,81,72,2182,578,2190
H0001,83,Savanna,3,51,91,2206,879,2220
H0001,84,Swamp,2,91,63,2216,1662,2240
H0001,85,Arctic,4,86,90,2248,640,2280
H0001,86,Jungle,4,98,65,2292,2200,2320
H0001,87,Rainforest,4,73,67,2352,1608,2360
H0001,88,Urban Ruins,3,63,30,2391,2112,2390
H0001,89,Savanna,5,64,84,2421,3285,2440
H0001,90,Desert,2,82,59,2439,872,2460
H0001,91,Arctic,5,62,39,2494,1575,2510
H0001,92,Urban Ruins,5,60,75,2554,4625,2560
H0001,93,Tundra,4,65,73,2594,2692,2600
H0001,94,Mountain,2,100,63,2610,714,2620
H0001,95,Arctic,1,54,71,2617,848,2630
H0001,96,Savanna,3,79,89,2644,1134,2660
H0001,97,Urban Ruins,4,100,76,2664,2172,2700
H0001,98,Mountain,2,92,78,2690,600,2720
H0001,99,Jungle,1,98,40,2695,635,2730
H0001,100,Desert,3,61,83,2731,1767,2760
H0002,1,Arctic,3,59,83,36,2019,30
H0002,2,Swamp,3,98,67,51,1923,60
H0002,3,Desert,3,62,79,90,1740,90
H0002,4,Swamp,2,55,70,120,1740,110
H0002,5,Mountain,3,64,50,159,873,140
H0002,6,Arctic,0,90,75,159,0,140
H0002,7,Tundra,3,76,62,198,2115,170
H0002,8,Tundra,0,57,30,198,0,170
H0002,9,Rainforest,1,69,62,212,746,180
H0002,10,Rainforest,5,98,96,252,3190,230
H0002,11,Savanna,2,64,73,268,1904,250
H0002,12,Savanna,3,65,39,295,2493,280
H0002,13,Urban Ruins,3,77,98,313,2058,310
H0002,14,Savanna,4,67,87,341,1952,350
H0002,15,Rainforest,5,67,57,381,2950,400
H0002,16,Swamp,2,51,72,397,1512,420
H0002,17,Rainforest,3,81,48,433,2973,450
H0002,18,Jungle,2,97,40,463,1256,470
H0002,19,Tundra,1,54,30,472,974,480
H0002,20,Mountain,3,69,71,508,2355,510
H0002,21,Volcanic,3,69,83,541,1956,540
H0002,22,Mountain,4,67,49,569,2792,580
H0002,23,Arctic,0,93,39,569,0,580
H0002,24,Desert,3,90,99,599,2370,610
H0002,25,Tundra,1,96,84,609,750,620
H0002,26,Jungle,4,80,34,629,3008,660
H0002,27,Rainforest,2,63,40,653,1704,680
H0002,28,Jungle,0,94,65,653,0,680
H0002,29,Jungle,1,96,32,663,816,690
H0002,30,Volcanic,3,85,40,684,2364,720
H0002,31,Volcanic,5,91,59,714,1885,770
H0002,32,Tundra,1,69,97,726,885,780
H0002,33,Tundra,2,80,36,742,1976,800
H0002,34,Jungle,5,50,48,777,4490,850
H0002,35,Urban Ruins,5,51,87,837,550,900
H0002,36,Tundra,3,74,92,867,1185,930
H0002,37,Arctic,4,85,62,891,1628,970
H0002,38,Desert,2,64,85,921,1732,990
H0002,39,Volcanic,2,96,64,939,1418,1010
H0002,40,Tundra,3,76,44,978,306,1040
H0002,41,Volcanic,5,95,73,1028,2395,1090
H0002,42,Tundra,5,54,43,1063,575,1140
H0002,43,Savanna,1,58,38,1075,572,1150
H0002,44,Urban Ruins,0,99,94,1075,0,1150
H0002,45,Mountain,3,82,76,1096,1680,1180
H0002,46,Urban Ruins,5,70,34,1136,805,1230
H0002,47,Volcanic,5,59,79,1186,2965,1280
H0002,48,Tundra,4,96,58,1226,3272,1320
H0002,49,Tundra,3,86,59,1268,825,1350
H0002,50,Mountain,5,88,32,1303,1275,1400
H0002,51,Savanna,4,51,31,1355,664,1440
H0002,52,Mountain,0,55,68,1355,0,1440
H0002,53,Desert,4,94,82,1399,456,1480
H0002,54,Mountain,4,66,61,1427,3276,1520
H0002,55,Arctic,3,75,39,1457,1785,1550
H0002,56,Volcanic,2,78,66,1481,1412,1570
H0002,57,Desert,2,79,62,1499,1282,1590
H0002,58,Urban Ruins,0,56,44,1499,0,1590
H0002,59,Jungle,4,81,68,1555,1832,1630
H0002,60,Urban Ruins,1,84,59,1566,736,1640
H0002,61,Jungle,4,57,36,1586,2364,1680
H0002,62,Mountain,2,91,38,1596,320,1700
H0002,63,Jungle,2,94,60,1610,310,1720
H0002,64,Urban Ruins,0,59,77,1610,0,1720
H0002,65,Tundra,5,96,52,1675,1455,1770
H0002,66,Arctic,3,65,74,1699,2619,1800
H0002,67,Volcanic,3,87,39,1744,549,1830
H0002,68,Tundra,3,76,67,1771,2760,1860
H0002,69,Tundra,2,75,80,1785,1194,1880
H0002,70,Rainforest,3,88,51,1812,1848,1910
H0002,71,Savanna,5,70,78,1837,2870,1960
H0002,72,Jungle,4,69,34,1857,3312,2000
H0002,73,Jungle,3,89,37,1890,813,2030
H0002,74,Rainforest,4,55,33,1946,1496,2070
H0002,75,Mountain,5,97,69,1981,2430,2120
H0002,76,Jungle,2,66,40,1993,952,2140
H0002,77,Desert,2,58,30,2007,1386,2160
H0002,78,Jungle,2,86,37,2037,384,2180
H0002,79,Urban Ruins,3,50,69,2064,663,2210
H0002,80,Volcanic,3,83,67,2079,1482,2240
H0002,81,Swamp,5,76,96,2104,3540,2290
H0002,82,Desert,4,50,96,2144,3960,2330
H0002,83,Volcanic,1,72,65,2158,412,2340
H0002,84,Mountain,1,68,66,2168,954,2350
H0002,85,Desert,5,71,45,2208,1520,2400
H0002,86,Arctic,5,76,55,2253,1120,2450
H0002,87,Swamp,5,66,86,2318,4535,2500
H0002,88,Swamp,5,99,98,2378,1300,2550
H0002,89,Swamp,4,91,57,2402,3768,2590
H0002,90,Urban Ruins,0,62,72,2402,0,2590
H0002,91,Jungle,4,65,63,2446,1520,2630
H0002,92,Tundra,2,90,57,2476,1014,2650
H0002,93,Urban Ruins,0,77,48,2476,0,2650
H0002,94,Arctic,5,68,42,2546,2255,2700
H0002,95,Tundra,1,82,89,2556,185,2710
H0002,96,Savanna,3,73,85,2598,447,2740
H0002,97,Volcanic,1,63,99,2607,481,2750
H0002,98,Rainforest,4,50,94,2627,3200,2790
H0002,99,Arctic,4,52,98,2687,976,2830
H0002,100,Arctic,2,93,73,2705,1542,2850
H0003,1,Urban Ruins,2,70,51,12,1358,20
H0003,2,Jungle,0,90,63,12,0,20
H0003,3,Swamp,3,57,87,33,1908,50
H0003,4,Desert,5,96,44,63,3045,100
H0003,5,Desert,2,54,76,75,560,120
H0003,6,Savanna,0,82,66,75,0,120
H0003,7,Urban Ruins,0,94,77,75,0,120
H0003,8,Arctic,0,90,54,75,0,120
H0003,9,Urban Ruins,5,56,88,100,3675,170
H0003,10,Volcanic,2,67,49,116,620,190
H0003,11,Mountain,0,74,97,116,0,190
H0003,12,Urban Ruins,2,57,69,134,1056,210
H0003,13,Arctic,2,92,77,160,492,230
H0003,14,Jungle,4,95,64,212,2524,270
H0003,15,Swamp,0,92,86,212,0,270
H0003,16,Urban Ruins,4,97,38,240,876,310
H0003,17,Savanna,3,51,70,264,1575,340
H0003,18,Swamp,0,84,90,264,0,340
H0003,19,Savanna,4,88,85,308,2564,380
H0003,20,Desert,3,84,93,344,2319,410
H0003,21,Mountain,5,80,73,419,3015,460
H0003,22,Jungle,0,78,44,419,0,460
H0003,23,Jungle,2,54,63,441,1484,480
H0003,24,Savanna,2,70,92,461,998,500
H0003,25,Jungle,2,89,37,489,686,520
H0003,26,Swamp,3,78,30,531,2706,550
H0003,27,Jungle,5,81,36,596,4050,600
H0003,28,Swamp,5,68,47,646,4505,650
H0003,29,Arctic,1,68,56,652,989,660
H0003,30,Volcanic,3,81,69,688,2028,690
H0003,31,Arctic,4,73,56,744,2868,730
H0003,32,Rainforest,4,83,36,804,3756,770
H0003,33,Tundra,5,78,37,879,3620,820
H0003,34,Volcanic,0,88,86,879,0,820
H0003,35,Desert,3,65,66,915,2607,850
H0003,36,Tundra,0,71,37,915,0,850
H0003,37,Rainforest,1,60,98,930,108,860
H0003,38,Swamp,5,52,99,970,1115,910
H0003,39,Urban Ruins,0,70,44,970,0,910
H0003,40,Arctic,5,80,33,1000,1020,960
H0003,41,Swamp,4,51,48,1060,3024,1000
H0003,42,Tundra,5,84,60,1100,4950,1050
H0003,43,Savanna,0,58,51,1100,0,1050
H0003,44,Jungle,2,99,72,1120,626,1070
H0003,45,Rainforest,4,86,41,1164,1088,1110
H0003,46,Arctic,5,88,41,1204,3805,1160
H0003,47,Swamp,3,81,67,1249,609,1190
H0003,48,Tundra,3,86,75,1285,2655,1220
H0003,49,Mountain,1,76,36,1298,226,1230
H0003,50,Desert,4,63,31,1318,3800,1270
H0003,51,Jungle,2,100,36,1332,1478,1290
H0003,52,Urban Ruins,0,83,74,1332,0,1290
H0003,53,Tundra,0,91,67,1332,0,1290
H0003,54,Rainforest,3,76,57,1368,2073,1320
H0003,55,Mountain,4,93,50,1412,700,1360
H0003,56,Arctic,0,67,93,1412,0,1360
H0003,57,Desert,1,66,52,1425,390,1370
H0003,58,Swamp,5,91,57,1450,1045,1420
H0003,59,Mountain,0,61,42,1450,0,1420
H0003,60,Savanna,5,75,85,1485,4850,1470
H0003,61,Arctic,5,88,74,1510,3475,1520
H0003,62,Swamp,4,100,70,1534,700,1560
H0003,63,Desert,4,97,100,1574,2344,1600
H0003,64,Tundra,4,78,54,1634,2440,1640
H0003,65,Volcanic,5,94,98,1694,3265,1690
H0003,66,Swamp,2,95,98,1724,1054,1710
H0003,67,Tundra,4,50,80,1784,2428,1750
H0003,68,Arctic,4,55,96,1804,2648,1790
H0003,69,Rainforest,0,55,84,1804,0,1790
H0003,70,Savanna,2,71,34,1830,278,1810
H0003,71,Jungle,2,61,100,1854,444,1830
H0003,72,Rainforest,5,89,70,1894,4810,1880
H0003,73,Urban Ruins,5,59,89,1969,4365,1930
H0003,74,Mountain,3,91,76,1984,609,1960
H0003,75,Savanna,1,79,56,1989,468,1970
H0003,76,Volcanic,4,69,48,2041,2272,2010
H0003,77,Desert,5,54,46,2081,2040,2060
H0003,78,Swamp,4,80,89,2137,796,2100
H0003,79,Rainforest,1,53,51,2152,940,2110
H0003,80,Arctic,4,65,37,2180,3688,2150
H0003,81,Swamp,4,72,31,2232,1688,2190
H0003,82,Jungle,3,99,83,2271,768,2220
H0003,83,Urban Ruins,4,71,58,2315,1580,2260
H0003,84,Rainforest,5,78,79,2345,1815,2310
H0003,85,Arctic,4,72,43,2405,3956,2350
H0003,86,Arctic,5,70,72,2455,690,2400
H0003,87,Savanna,4,78,54,2515,1724,2440
H0003,88,Volcanic,3,93,43,2554,798,2470
H0003,89,Savanna,1,50,99,2563,521,2480
H0003,90,Savanna,2,70,85,2575,1054,2500
H0003,91,Urban Ruins,2,85,88,2599,778,2520
H0003,92,Swamp,2,93,93,2613,558,2540
H0003,93,Urban Ruins,0,76,36,2613,0,2540
H0003,94,Desert,0,52,98,2613,0,2540
H0003,95,Tundra,5,68,55,2668,880,2590
H0003,96,Mountain,2,59,36,2698,1006,2610
H0003,97,Desert,3,79,90,2743,693,2640
H0003,98,Volcanic,2,88,32,2767,1586,2660
H0003,99,Arctic,5,58,31,2817,3715,2710
H0003,100,Arctic,1,63,99,2826,447,2720
H0004,1,Rainforest,5,82,45,75,2890,50
H0004,2,Tundra,1,61,88,84,713,60
H0004,3,Arctic,2,80,78,110,1428,80
H0004,4,Rainforest,1,100,53,121,549,90
H0004,5,Volcanic,2,76,60,147,1340,110
H0004,6,Jungle,1,74,31,158,136,120
H0004,7,Urban Ruins,5,52,92,208,4415,170
H0004,8,Savanna,1,72,40,217,275,180
H0004,9,Rainforest,3,69,93,238,555,210
H0004,10,Savanna,0,54,71,238,0,210
H0004,11,Swamp,2,72,64,256,658,230
H0004,12,Urban Ruins,0,97,87,256,0,230
H0004,13,Tundra,2,65,76,278,430,250
H0004,14,Tundra,3,73,72,317,1104,280
H0004,15,Tundra,0,80,32,317,0,280
H0004,16,Jungle,5,97,68,387,2385,330
H0004,17,Jungle,5,96,68,452,2785,380
H0004,18,Desert,3,55,61,494,1581,410
H0004,19,Desert,1,82,49,509,407,420
H0004,20,Urban Ruins,3,55,49,545,1539,450
H0004,21,Jungle,5,54,81,590,4770,500
H0004,22,Swamp,4,100,36,650,432,540
H0004,23,Rainforest,2,93,88,666,712,560
H0004,24,Jungle,5,92,37,716,4125,610
H0004,25,Jungle,3,77,61,761,1995,640
H0004,26,Arctic,5,98,33,826,4265,690
H0004,27,Arctic,3,96,70,853,2724,720
H0004,28,Jungle,2,52,43,879,1324,740
H0004,29,Savanna,2,88,30,905,1008,760
H0004,30,Jungle,2,56,57,927,1882,780
H0004,31,Mountain,5,78,38,987,4720,830
H0004,32,Jungle,3,67,68,1017,2298,860
H0004,33,Mountain,5,84,68,1087,3350,910
H0004,34,Savanna,3,85,68,1108,771,940
H0004,35,Swamp,4,65,42,1144,2316,980
H0004,36,Jungle,2,74,87,1174,1516,1000
H0004,37,Urban Ruins,2,74,99,1190,814,1020
H0004,38,Jungle,5,77,95,1230,2200,1070
H0004,39,Urban Ruins,1,84,91,1240,709,1080
H0004,40,Volcanic,0,77,96,1240,0,1080
H0004,41,Swamp,4,64,81,1284,1188,1120
H0004,42,Urban Ruins,5,69,36,1349,4895,1170
H0004,43,Savanna,5,53,52,1414,3055,1220
H0004,44,Desert,0,53,85,1414,0,1220
H0004,45,Rainforest,2,69,78,1426,1648,1240
H0004,46,Urban Ruins,2,58,34,1448,796,1260
H0004,47,Urban Ruins,0,71,88,1448,0,1260
H0004,48,Jungle,3,87,41,1478,1500,1290
H0004,49,Rainforest,5,57,86,1513,1305,1340
H0004,50,Mountain,5,66,72,1553,1295,1390
H0004,51,Volcanic,2,81,76,1565,668,1410
H0004,52,Rainforest,5,81,94,1620,4590,1460
H0004,53,Jungle,5,83,74,1650,1255,1510
H0004,54,Mountain,3,95,61,1695,1284,1540
H0004,55,Urban Ruins,3,95,81,1728,2316,1570
H0004,56,Savanna,3,92,93,1749,2319,1600
H0004,57,Volcanic,3,97,40,1782,1821,1630
H0004,58,Arctic,4,60,57,1842,2512,1670
H0004,59,Savanna,5,70,36,1867,2475,1720
H0004,60,Arctic,4,87,67,1895,992,1760
H0004,61,Jungle,3,80,74,1940,903,1790
H0004,62,Urban Ruins,2,99,94,1968,1466,1810
H0004,63,Volcanic,4,85,90,2028,788,1850
H0004,64,Savanna,3,55,64,2067,1992,1880
H0004,65,Arctic,3,89,80,2103,357,1910
H0004,66,Urban Ruins,2,50,84,2119,940,1930
H0004,67,Urban Ruins,5,79,93,2164,4265,1980
H0004,68,Mountain,3,88,31,2206,1281,2010
H0004,69,Arctic,0,55,68,2206,0,2010
H0004,70,Savanna,5,57,60,2236,1150,2060
H0004,71,Urban Ruins,5,81,94,2271,2790,2110
H0004,72,Tundra,3,90,82,2316,2805,2140
H0004,73,Arctic,5,79,83,2371,2130,2190
H0004,74,Savanna,0,80,72,2371,0,2190
H0004,75,Savanna,4,65,68,2423,3552,2230
H0004,76,Tundra,4,98,93,2479,2592,2270
H0004,77,Mountain,4,90,37,2499,1688,2310
H0004,78,Jungle,2,97,99,2521,1946,2330
H0004,79,Desert,2,63,43,2543,730,2350
H0004,80,Mountain,3,62,81,2573,1128,2380
H0004,81,Urban Ruins,4,59,98,2625,1652,2420
H0004,82,Urban Ruins,5,69,35,2690,4240,2470
H0004,83,Mountain,0,99,44,2690,0,2470
H0004,84,Savanna,4,55,72,2726,1556,2510
H0004,85,Urban Ruins,5,58,53,2801,4370,2560
H0004,86,Rainforest,1,95,45,2814,486,2570
H0004,87,Desert,3,77,82,2841,2946,2600
H0004,88,Swamp,3,65,77,2874,2235,2630
H0004,89,Rainforest,1,79,100,2879,471,2640
H0004,90,Swamp,3,94,59,2924,1659,2670
H0004,91,Savanna,3,85,58,2966,894,2700
H0004,92,Desert,0,52,73,2966,0,2700
H0004,93,Desert,3,90,50,3005,1560,2730
H0004,94,Urban Ruins,5,79,35,3055,1260,2780
H0004,95,Swamp,2,93,83,3073,854,2800
H0004,96,Desert,3,73,89,3103,2439,2830
H0004,97,Rainforest,0,91,86,3103,0,2830
H0004,98,Savanna,1,63,67,3115,695,2840
H0004,99,Jungle,0,59,48,3115,0,2840
H0004,100,Urban Ruins,3,53,63,3130,1644,2870
H0005,1,Rainforest,5,58,88,40,1975,50
H0005,2,Volcanic,5,53,81,65,790,100
H0005,3,Swamp,4,76,43,117,4000,140
H0005,4,Rainforest,3,75,82,156,2181,170
H0005,5,Swamp,5,98,33,196,2620,220
H0005,6,Urban Ruins,3,85,72,217,1557,250
H0005,7,Desert,1,53,76,228,225,260
H0005,8,Urban Ruins,1,99,63,242,709,270
H0005,9,Swamp,2,78,49,256,978,290
H0005,10,Urban Ruins,5,54,59,331,3935,340
H0005,11,Savanna,1,55,68,343,556,350
H0005,12,Desert,0,50,81,343,0,350
H0005,13,Volcanic,3,87,36,382,381,380
H0005,14,Urban Ruins,1,88,63,397,661,390
H0005,15,Desert,5,92,95,422,3540,440
H0005,16,Savanna,1,88,94,434,118,450
H0005,17,Savanna,0,66,84,434,0,450
H0005,18,Volcanic,3,59,49,470,771,480
H0005,19,Rainforest,3,64,50,515,1986,510
H0005,20,Tundra,4,94,56,575,2044,550
H0005,21,Volcanic,0,100,79,575,0,550
H0005,22,Savanna,1,89,74,581,301,560
H0005,23,Jungle,4,77,96,613,3440,600
H0005,24,Volcanic,5,51,95,658,2970,650
H0005,25,Jungle,2,84,33,676,1116,670
H0005,26,Urban Ruins,1,78,79,688,639,680
H0005,27,Rainforest,0,58,42,688,0,680
H0005,28,Volcanic,2,64,60,700,992,700
H0005,29,Desert,0,84,38,700,0,700
H0005,30,Jungle,5,97,30,755,3330,750
H0005,31,Arctic,5,78,100,820,1920,800
H0005,32,Arctic,3,94,96,841,2523,830
H0005,33,Tundra,5,77,74,876,2990,880
H0005,34,Swamp,4,52,71,908,2600,920
H0005,35,Rainforest,0,76,84,908,0,920
H0005,36,Volcanic,1,82,44,923,404,930
H0005,37,Urban Ruins,5,68,60,953,1325,980
H0005,38,Urban Ruins,2,80,48,965,496,1000
H0005,39,Tundra,0,75,89,965,0,1000
H0005,40,Jungle,4,69,42,989,3356,1040
H0005,41,Jungle,0,57,94,989,0,1040
H0005,42,Volcanic,2,69,90,1015,1660,1060
H0005,43,Tundra,0,61,62,1015,0,1060
H0005,44,Swamp,2,79,41,1035,986,1080
H0005,45,Volcanic,1,71,78,1043,211,1090
H0005,46,Tundra,5,96,95,1078,2975,1140
H0005,47,Swamp,5,58,34,1143,2410,1190
H0005,48,Savanna,2,55,92,1155,286,1210
H0005,49,Desert,0,74,84,1155,0,1210
H0005,50,Arctic,5,99,95,1205,4490,1260
H0005,51,Jungle,1,73,74,1214,651,1270
H0005,52,Jungle,1,79,32,1222,293,1280
H0005,53,Arctic,2,71,50,1244,364,1300
H0005,54,Tundra,3,62,62,1268,2412,1330
H0005,55,Arctic,0,84,74,1268,0,1330
H0005,56,Arctic,1,62,70,1278,677,1340
H0005,57,Urban Ruins,3,89,43,1299,723,1370
H0005,58,Volcanic,4,86,30,1319,2248,1410
H0005,59,Mountain,0,82,54,1319,0,1410
H0005,60,Swamp,3,70,76,1337,615,1440
H0005,61,Volcanic,1,76,42,1348,625,1450
H0005,62,Arctic,1,82,43,1360,798,1460
H0005,63,Savanna,3,72,37,1396,1113,1490
H0005,64,Tundra,2,52,38,1414,1964,1510
H0005,65,Arctic,4,65,67,1474,1328,1550
H0005,66,Arctic,4,63,47,1502,2364,1590
H0005,67,Desert,2,96,94,1512,1428,1610
H0005,68,Jungle,4,86,53,1540,3880,1650
H0005,69,Mountain,4,79,64,1560,800,1690
H0005,70,Rainforest,0,58,34,1560,0,1690
H0005,71,Urban Ruins,1,92,50,1570,987,1700
H0005,72,Urban Ruins,3,77,64,1615,594,1730
H0005,73,Rainforest,5,76,53,1650,1610,1780
H0005,74,Arctic,3,85,75,1689,2118,1810
H0005,75,Mountain,1,69,36,1702,287,1820
H0005,76,Tundra,3,96,89,1738,2292,1850
H0005,77,Jungle,4,75,57,1766,1540,1890
H0005,78,Rainforest,0,83,84,1766,0,1890
H0005,79,Rainforest,4,97,60,1826,2812,1930
H0005,80,Mountain,5,83,71,1896,3995,1980
H0005,81,Mountain,2,62,39,1914,724,2000
H0005,82,Rainforest,2,99,71,1928,282,2020
H0005,83,Arctic,4,95,60,1968,3660,2060
H0005,84,Rainforest,2,66,96,1994,266,2080
H0005,85,Mountain,0,60,91,1994,0,2080
H0005,86,Desert,5,81,77,2039,3165,2130
H0005,87,Mountain,4,98,97,2075,488,2170
H0005,88,Jungle,4,59,43,2135,3784,2210
H0005,89,Desert,5,67,38,2170,3300,2260
H0005,90,Arctic,0,56,84,2170,0,2260
H0005,91,Desert,2,77,68,2194,940,2280
H0005,92,Rainforest,1,81,88,2203,797,2290
H0005,93,Arctic,0,74,71,2203,0,2290
H0005,94,Volcanic,1,57,86,2208,211,2300
H0005,95,Arctic,3,89,43,2250,699,2330
H0005,96,Savanna,0,92,89,2250,0,2330
H0005,97,Mountain,3,61,31,2265,723,2360
H0005,98,Volcanic,5,56,53,2330,2835,2410
H0005,99,Volcanic,1,65,54,2338,264,2420
H0005,100,Savanna,2,91,84,2354,962,2440
H0006,1,Tundra,2,71,40,12,1524,20
H0006,2,Volcanic,0,97,35,12,0,20
H0006,3,Swamp,0,100,97,12,0,20
H0006,4,Swamp,0,85,55,12,0,20
H0006,5,Urban Ruins,4,99,94,36,1432,60
H0006,6,Savanna,0,82,52,36,0,60
H0006,7,Jungle,2,97,79,46,1202,80
H0006,8,Jungle,0,94,72,46,0,80
H0006,9,Urban Ruins,4,88,70,102,1128,120
H0006,10,Desert,5,96,38,152,2265,170
H0006,11,Rainforest,0,57,40,152,0,170
H0006,12,Volcanic,2,98,59,166,280,190
H0006,13,Urban Ruins,1,56,41,181,771,200
H0006,14,Mountain,1,96,38,187,271,210
H0006,15,Tundra,1,62,35,199,174,220
H0006,16,Savanna,1,77,99,205,785,230
H0006,17,Swamp,5,87,62,245,3085,280
H0006,18,Desert,3,98,87,290,969,310
H0006,19,Urban Ruins,5,97,67,360,2510,360
H0006,20,Volcanic,3,83,61,375,366,390
H0006,21,Rainforest,3,96,77,405,1794,420
H0006,22,Desert,5,94,79,455,1060,470
H0006,23,Jungle,4,79,97,487,3332,510
H0006,24,Tundra,5,81,100,512,3475,560
H0006,25,Volcanic,3,77,33,551,1908,590
H0006,26,Savanna,5,70,38,616,1820,640
H0006,27,Arctic,5,59,37,681,2575,690
H0006,28,Urban Ruins,0,72,87,681,0,690
H0006,29,Urban Ruins,1,98,54,690,846,700
H0006,30,Arctic,2,61,37,712,600,720
H0006,31,Swamp,0,95,37,712,0,720
H0006,32,Jungle,4,53,39,760,1296,760
H0006,33,Urban Ruins,0,70,81,760,0,760
H0006,34,Desert,3,59,52,796,2772,790
H0006,35,Urban Ruins,3,62,87,817,2661,820
H0006,36,Savanna,5,64,98,842,960,870
H0006,37,Savanna,0,91,76,842,0,870
H0006,38,Volcanic,0,83,93,842,0,870
H0006,39,Tundra,0,67,30,842,0,870
H0006,40,Jungle,2,70,100,858,1900,890
H0006,41,Jungle,2,96,56,884,660,910
H0006,42,Volcanic,3,84,65,929,1917,940
H0006,43,Jungle,1,68,71,934,211,950
H0006,44,Volcanic,0,80,39,934,0,950
H0006,45,Urban Ruins,0,69,45,934,0,950
H0006,46,Urban Ruins,1,83,71,948,580,960
H0006,47,Rainforest,2,70,68,958,482,980
H0006,48,Swamp,4,57,72,998,3136,1020
H0006,49,Swamp,1,87,67,1009,278,1030
H0006,50,Desert,2,83,69,1021,1490,1050
H0006,51,Swamp,3,90,57,1054,1425,1080
H0006,52,Arctic,0,67,34,1054,0,1080
H0006,53,Tundra,1,65,82,1060,191,1090
